iter	MultiClass
0	1.4570491
1	1.361801607
2	1.289943336
3	1.230487844
4	1.176861472
5	1.137858661
6	1.096150607
7	1.069321209
8	1.037681761
9	1.013811413
10	0.9869360615
11	0.9636289584
12	0.94394429
13	0.9258378743
14	0.9124941492
15	0.9022531129
16	0.8911216279
17	0.884050338
18	0.8751014647
19	0.866218465
20	0.8571470979
21	0.8474522754
22	0.8393253683
23	0.8310127274
24	0.8246801645
25	0.8182801119
26	0.8141629974
27	0.8100003711
28	0.8085203215
29	0.8042575464
30	0.799351336
31	0.7964255907
32	0.7915716513
33	0.7897953295
34	0.7877684832
35	0.7847545143
36	0.7828177177
37	0.7794943368
38	0.7771431652
39	0.7748113203
40	0.7708364627
41	0.7687997095
42	0.7674248861
43	0.764560182
44	0.7617129825
45	0.759878362
46	0.7582092758
47	0.7557160556
48	0.7542497899
49	0.752868387
50	0.7511373578
51	0.7487290736
52	0.7458374976
53	0.7439786032
54	0.7414034163
55	0.7399388751
56	0.7387130891
57	0.7371342542
58	0.7363757161
59	0.7352952315
60	0.7332034916
61	0.7321124067
62	0.7302487988
63	0.7289627768
64	0.7268542415
65	0.7245497299
66	0.7233930047
67	0.722067007
68	0.7205667428
69	0.7172345524
70	0.7150622326
71	0.7133549204
72	0.7117818779
73	0.7104980973
74	0.7092178668
75	0.7068485998
76	0.7057638605
77	0.7043030551
78	0.7026745025
79	0.7018142004
80	0.7011140488
81	0.6997557631
82	0.6984756755
83	0.697988034
84	0.6973285657
85	0.6949768001
86	0.693827982
87	0.6922879272
88	0.6910829701
89	0.6899656651
90	0.6884531207
91	0.6873893673
92	0.6855034889
93	0.6844406726
94	0.6825173563
95	0.6809701103
96	0.6803375682
97	0.6800551621
98	0.6789421518
99	0.6778614185
100	0.6768752215
101	0.675290716
102	0.6746164811
103	0.6729692748
104	0.6725588114
105	0.6719138513
106	0.6708819133
107	0.6691370697
108	0.6676312257
109	0.6659028049
110	0.6654671219
111	0.6650259764
112	0.664255172
113	0.6631815835
114	0.6617763561
115	0.661383189
116	0.6606854973
117	0.6597157901
118	0.6586692835
119	0.6574671357
120	0.6562573579
121	0.654300784
122	0.6531224231
123	0.6516891049
124	0.6503851156
125	0.6495460111
126	0.6487230803
127	0.6469805569
128	0.6463729496
129	0.6454530345
130	0.6446486572
131	0.6442108392
132	0.6436208633
133	0.6427695967
134	0.6415353079
135	0.6406224874
136	0.6399132318
137	0.6391660555
138	0.638339941
139	0.6372732791
140	0.6369840238
141	0.636117753
142	0.6351601598
143	0.6346109093
144	0.6336907637
145	0.6330044253
146	0.6325741361
147	0.6320949905
148	0.6305814223
149	0.6296289502
150	0.6290806256
151	0.6280970402
152	0.6274349148
153	0.6268165121
154	0.6259864696
155	0.6250962168
156	0.6247226907
157	0.6237379628
158	0.622574355
159	0.62225344
160	0.6215510364
161	0.6210433972
162	0.6208151566
163	0.6198845839
164	0.6196454735
165	0.6191170759
166	0.6182994099
167	0.6173822508
168	0.6168883855
169	0.6164898005
170	0.615821866
171	0.6152358935
172	0.6146130558
173	0.6141768164
174	0.6139353405
175	0.6132788611
176	0.6129432223
177	0.6124967863
178	0.6122862706
179	0.6120585509
180	0.6117794132
181	0.611190477
182	0.6101182717
183	0.608906574
184	0.6080484287
185	0.6075120227
186	0.6064127132
187	0.6059278047
188	0.6054987722
189	0.604447166
190	0.6035199721
191	0.6029996772
192	0.6024730136
193	0.6019908455
194	0.6014748224
195	0.6010228623
196	0.6002291514
197	0.5998803343
198	0.5997409902
199	0.5991086305
